review,sentiment
i sometimes forget about it completely; other times i do like a piece of the program only,none
"Alright, sounds good. Portioning is something I'm definitely trying to give more attention to.",positive
i'm going to seattle to work with the xxx dept @ xxx! i'm also visiting new orleans :P,positive
Hi Jacqui -- just wanted to say hi and that I'm excited to embark on this journey! I especially feel reassured knowing that you'll be by my side. :),positive
thanks for reaching out tho jacqui it means a lot,positive
"Well, I have a paper crafting studio upstairs. I make and sell cards, scrapbook pages, and other gift giving packaging type things. I've been trying to get back into it for months now. All I seem to be able to do is buy supplies and organize them. It's stressful. Today though I am going to work in a project I've been trying to get started on since Monday. I'm just going to put everything aside and start on it. I'm excited..I think :). I'm taking a break from the outside world for today. That's a start. You know, I have this nice big garden bathtub that has jets and everything. I think I've used it twice in the two years I've lived here. That may go on my list.",mixed
"Hi Sara, quick check in- I've had a tough week. I think my world is starting to settle down some (I hope!). Just want to let you know I'm still here :) I'll have to write more when I get back...long day ahead.",mixed
"Hi Sarah. I just wanted to say hi and thank you for the note. It's late here and I need to try and get some sleep. Talk soon, Anne",mixed
"I don't think I've ever actually done deliberate self care..like things that make me feel good (well things that are positive and healthy anyway). 
I said I was going to stay home today and I didint. I should have though because all my friend did was shoot me down for my behaviors. I'm not good with people. She is my first real friend in many years. I don't want to upset her. Anyway mostly my self care at this time in my life is sleeping and eating. After I got home today I slept for 3 1/2 hours. Tomorrow I have a project to work on that I was supposed to start on Monday. I need to make myself work on it",negative
"Hi Winnie,
I'm still trying to figure the site out, it's kind of confusing but I'm sure it's just because everything is new. I would add my picture if I could figure out how. 

Anyway...I decided to give this a try because I'm feeling overwhelmed and it's bringing me down. I've been working with a psychologist for a year now (my first attempt at therapy). I see her once a week and I don't contact her outside of session. I see a psychiatrist too. I started taking zoloft in January. I'm currently at 200mg.

I live with OCD (it sucks, it really does). I guess I've had it since childhood. I've been going to therapy and taking medication for that and PTSD and whatever else is in my file. I'm feeling stuck. I was doing good for a while but now I'm doing all these new things and it's freaking me out.

I'm trying this for added support, to help myself. I feel like I'm failing. Like I can't fix myself no matter how hard I try. 

This is long, sorry. I'm not sure if you even wanted to know any of this..ugh! This is kind of weird for me. 

PS
I don't think my psychologist is doing CBT with me. It's more just talking about my week, feelings, social stuff (because I'm not good at being social) and family relationships.",negative
"Hi. Wanted to let you know I received your feedback. Thank you! I'm going to take some time to read through and think about what you have to say. 
~Anne",positive
"Thanks! Things are going well right now! It's dead day since the finals schedule is weird this year and we have finals week from Thursday to Wednesday. I've been making exercise and talking with friends a big priority, which has really helped with stress levels and eating so far.",mixed
"Yes, I've been mostly on top of things. This week is going to be difficult, but it's starting out pretty well.",negative
"Thanks!! I'm working on my last paper of the year right now, and the end is definitely in sight. Thank you for your support! I'm going to be working at a camp this summer, so I likely won't have access to lantern from June 13 to August 18.",none
"What helps most, I think, is going into meals with a clear mind and not taking out my feelings through eating.",none
"By the way, I've only eaten 2 meals in the last 24 hours because I slept in late and had brunch.",none
"I do feel more comfortable with my body than when I started. I still think it's a work in progress, so to speak, but I know that I'm on my way to where I want to be and that my relationship with my body can and should and, if I consciously work on it, will be accepting and embracing during that process.",positive
"Doing ok! Had to get 15 stitches because I hit my head after one of them, but otherwise I'm good. And triggered to restrict meals again. I'll keep doing the program and let you know if there is anything I need",mixed
Hi! Yes I've been hospitalized twice before. It is always an experience that helps me get back on track to recovery but it's always tough. And yes I see a MD and a dietician at Vaden every wednesday and a psychiatrist on Fridays now. Thanks so much!,mixed
Hi Caroline! I was just hospitalized for 6 days in the LCPH CCP unit of El Camino Hospital. My heart rate was too low so I was admitted. Now I am back tho but It was definitely a wake up call,negative
"Hi! Sorry I've been gone for a while, the app stopped working on my phone. I've been having a lot of seizures lately, but luckily stopped a lot of the purging but my new meds make me less hungry which triggered me a lot",negative
Thanks so much for the message! Yeah lately the biggest thing I have been having trouble with is restricting. I start to eat and then I just have to stop. I've been losing a lot of weight and I just can't seem to eat enough the voice just says no and I stop. The Mirror Exercise was very difficult and I spent the whole time looking at problem areas. I will definitely check out the discussion board!!!,negative
Hi Caroline! I have a question. Do you have any recommendations for IOP programs around Stanford? I'm trying to find a place to go maybe half days a couple times a week for continued meal support and things like that,none
"Hi Melody- thanks for your note! My Monday has been okay. It was a stressful day academically and I wish that didn't affect my eating behaviors. But otherwise, it's been fine :)
How has yours been?",mixed
"Hey Melody- thanks so much for your note. You're right that it's the academic stress that caused that to happen. When I'm away from school, back home with my family for example, I would never feel the urge to do something like that to myself. Just so you know, I've been much better since Monday- less stressed! Recently I've been much more careful to practice self care. I do yoga a couple times a week (but wish I could do it more) and go to the gym with a girlfriend once a week. I like to spend time with my boyfriend and with my friends to blow off steam :) overall I am quite happy, but when things get hectic and stressful, I do wish I were better at coping! I think the trick is letting myself off the hook, and being kinder to myself in stressful situations. No one is perfect :)",mixed
"Yes- I had a piece of a chocolate bar as a treat and felt guilty about it, so ended up eating the rest of the bar and a couple other bars. I am very ashamed to say that I made myself throw up after that. This only happens a couple times a month and I am seeing a therapist on campus every other week, in the hopes of completely eradicating the purge behavior. I don't have an eating disorder, but every now and then when stressors get to be a lot, my eating patterns (which are usually great) veer towards being disordered.",negative
Thanks Melody! You're absolutely right. It's so important to be realistic. I'll reflect on my triggers when I encounter setbacks in the next couple days.,none
"Hi there Melody! I hope you are well. Thanks for your response! I'd really like to specialize in pediatrics. Your summer sounds lovely and well balanced too! I hope your dissertation and travel goes well. Unfortunately I will be traveling this week- I think it would be difficult to schedule a phone conversation, but I want to take this opportunity to thank you for all your help and support throughout this program. I feel that I've made lots of progress! I appreciate that you were with me every step of the way. Thank you for everything you do!",positive
"Good evening! :) thanks for the kind note- that's exactly how they raised me and i am very grateful for it! I hope to teach my own kids flexibility, adaptability and resiliency someday. The pleasurable activities I mentioned early help me think clearly again because they calm me down a lot, and help me reset, which allows me to take a step back from my emotions.",positive
"Hi there Melody! Thank you so much! This summer I'm going to be giving campus tours and studying for the MCAT. I'm looking forward to having a fun and relaxing time with family and friends. Do you have any plans? I can't think of a specific topic, but I will definitely let you know if I have questions. I'm going to review the techniques, too.",positive
"Hi Melody! I hope you're well! I did find the emotion regulation lessons and tools, thank you! I read about coping with negative emotions and it was a helpful and much needed refresher. My experience with the half-smile technique was great- I really, really believe that it works! I had a final yesterday and made an effort to smile and enjoy the walk over to take the final. I felt much less stressed after that! Hope all is well with you!",positive
Hi Jacqui- I just don't think the meditation techniques are very suitable for my personality. The self-reflection activities (like the one where we are supposed to stare at our body) seem contrived and superficial to me. I am also crunched for time as a college student and these techniques are very time-consuming and I feel like I get little value out of them.,negative
"Anyway, I called my ex Adam, first time we've really had a phone call and I told him I was lonely. The call devolved into talking about the business and all the ways he is disappointed in me; he's basically transitioning out of the business b/c it wasn't growing as quickly as he would like and he's disappointed in me. 
I feel like I can redeem myself - I can take to heart the things he said and fix them. I think maybe at some point I'll be the person he wanted me to be all along - but we'll have both moved on. I don't like the person he's become so I'm not interested in getting back together w/ him. 
Anyway that conversation was sort of a downer, and it will be a while before we can be close friends like we used to be.
Just feeling a little lonely like right now there isn't really anyone who I feel super intimate with. 
Now that A has gone missing, I guess I'll just focus on the other guy I'm seeing, Chris. We're getting together on Wed. 
I don't regret anything that happened, and I know this is a great time to be alone, but sometimes being single kind of sucks!",mixed
"argh, 2 huge boy issues, although I'm actually cranking and getting through my to do list! Actually feeling like there is a light at the end of the tunnel, something I haven't felt in a LONG time. 

1) The guy I'm seeing didn't pick up his phone AGAIN, and even though my iPhone tells me he saw my text, he didn't respond right away. 
I sent him this note: 
subject: do you still like me? :-(
Joyce Guan 
11:51 PM (1 hour ago)
I have no idea b/c you're a very sporadic communicator
The on and off communication is kind of driving me crazy, and I don't even want to be friends w/ someone who can't complete a conversation, and gets distracted and then responds 24 hours later. 
If you don't want to talk me to again (ie you decided there's some reason you don't like me), just say so, instead of just randomly ignoring me.
If you do like me (ie you think I'm special), can we talk briefly about how we can communicate in a way that works for both of us? 
I know you had a rough week, so I don't mean to give you a hard time, but there are basic expectations re: communication that are common courtesy. 
I think you're special and there's a bunch of things I want to do with you! And if you have issues w/ me not knowing what I want, exclusivity, or this just being a rebound, could we talk about it? Sort of ironic b/c I've stopped seeing a bunch of people I was seeing so that I could spend more time w/ you, and now you're totally MIA. 
I want to make plans w/ you and when you totally ignore my request to make plans, it's very difficult for the rest of my schedule, and it makes me feel really unloved. I am one of those people who is used to constant affection, but that's what happens in most mature relationships. 
If you wake up at an odd hour again, feel free to call me at any hour - I'll probably be up! I don't like to leave things hanging and would really love to come to a resolution on this one way or another. 
Or let me know what time we can talk tomorrow.",mixed
"As I'm sitting here, doing work I should have done a month ago now, I realize that I'm a fairly irresponsible, impulsive person. My own impulses and interest in pleasure and validation/love have really trumped my responsibility towards my company. While I feel the weight of this information, I don't feel ridiculously guilty - I am rewiring my mind to not do this again. Much of my unhappiness stems from constantly being in a crisis mode that I created for myself! I am really going to work hard to get myself out of these vicious cycles. I also need an attitude shift - whenever I feel compelled to go have fun or call a boy, etc. I will force myself to get my work done first, or at least a significant milestone. Sometimes I feel so immature. I am feeling better though - I've been working really hard all day and I'm crunching through the projects!",mixed
"2) I'll be really honest, now that I'm no longer distracting myself w/ a zillion dates, I feel lonely. I really just want to be in a normal relationship w/ someone again. Although, I feel like I really need to work through my focus issues, so I can be focused and not so distracted. The right thing for me is to be alone, but I feel the pull of the siren song of being secure and loved in a relationship.",negative
"I'm realizing that all of my stress really comes from work, and the ongoing cycle of freaking out creates tons of disorganization, which creates more freaking out. I just need to break the pattern and do things more in advance, delegate, and prioritize the things that matter.",negative
"I was reading that love addiction stems from neglect as a small child - my parents worked quite hard when I was younger, and then when I was in 2nd grade my mom had a bad fall and went to China for a year to get treated w/ Eastern medicine. That year with my dad as single parent was really rough, and rather lonely, and I was 7 years old at the time I believe. I remember feeling really bipolar - SUPER happy and then SUPER sad. It got better when my mom returned, but I think that year had a big, lasting effect on me. To cope, I invented an imaginary ""boyfriend"" who watched over me; maybe that's where the fantasizing began. In general I don't think my parents spent that much time w/ me, I remember playing Monopoly by myself as a child quite a lot. My sister (8 yrs older) was a grounding force, but once she moved out of the house when I was in 4th grade, I did feel pretty lonely. At the time I was extremely shy so I didn't have many friends or people to talk honestly with.",negative
Unhappy,negative
"Also re the guy I'm seeing not being into me he just took a really long nap in the middle of the day so my instinct that I was having an incorrect automatic thought was correct! He's still a little sporadically responsive at times but he's affectionate by txt, most likely I'll just call him tonight and he'll be available to talk",positive
"So...I talked to A and it turns out that he's a very logical person. He looks at this situation w/ me and thinks that he's a rebound - which he might very well be. I also told him that I'm dating one other person, and he was surprised about that too. So he said that he's going to be cautious and not emotionally invest until I figure out what I really want, which just takes time. I know it's the right thing to do, although frustrating b/c I really like him, and I'm so excited by being around him. He's a good guy, although a little eccentric at times and he's the kind of guy who I could build a solid relationship with. He really does want a relationship and he talks about things like he's more interested in settling down. Anyway, I'm seeing him on Friday - I do like him so much!",positive
"I tried exercising a couple of times but it is so hard to motivate because I find the elliptical really boring. I also talk to friends or sit outside when I need a break. I don't feel very stressed, but my body is reacting really strongly; for example, fatigue, hunger, etc.",negative
"Hi Melody! Yeah, this is finals week for me so I've been pretty busy. Lots of stress-eating too of course...",negative
"Hi Dani! Sorry for being a little aloof lately. For the most part my eating/exercise routines are going well! I'm becoming a lot more aware and comfortable. Unfortunately my older sister who I am very close with has just checked herself into intensive outpatient care for an eating disorder so I guess that's kind of a new factor in my personal journey. Although I worry about her, it's nice to be able to have open and productive dialog about our eating habits since we've both been able to admit to having problems. I am planning to (seriously) do an exposure with tortilla chips (my ultimate vice) later this week with my roommates, whom I have now talked to about hbi and lantern. Obviously eating issues have a renewed importance to me given what my sister is going through, so I will try to get back in the habit of using lantern every day. I hope all is well with you.",mixed
"Hey Dani! Sorry for being kind of aloof lately! I'm traveling with my family right now, which definitely presents different challenges than being at home or at school. When we eat at restaurants it's difficult not to just eat everything on my plate, even though portion sizes are larger than I'm used to. I'm doing okay though! I hope you had a good holiday",mixed
"Hi Dani! Sorry for going AWOL for a bit there!! I went straight from traveling with my family to heading back to school for sorority recruitment which has been consuming virtually all of my time! I still haven't done an exposure.. to be honest the idea of that makes me a little uncomfortable and I haven't really discussed the lantern program with my family or friends much yet. However otherwise I feel like things are mostly going well! Recruitment is a little bit of a tough eating situation because the schedule is chaotic and everyone is eating like they don't know when their next meal will be so it's been a little tough to listen to my body rather than pay attention to what's going on around me. I also have been busy literally every hour of the daylight the past few days so I haven't been able to go running, which I know means I'm a little vulnerable to negative self talk right now. I'm going on a run in a couple hours and hopefully that will make me feel better! This week is my first week of classes so I'm hoping to use that to establish good eating and exercise habits to go along with my new schedule!",mixed
"Hi Dani! So sorry I haven't been in touch - the phone call was an honest mistake! I got called into work and totally forgot. It's going ok for me, I've just been crazy busy with work and final projects for school and going home for the holidays! I need to remember to track my eating because I actually have found myself less likely to binge when I am consistent with my use of Lantern - it makes me more aware of my behaviors! I would love to reschedule our phone call; would Wednesday around 2pm PST work for you at all? I could also do next Friday anytime between noon and 3pm PST",mixed
"Hi Dani! Just finished my LAST FINAL about 10 minutes ago!! Definitely experienced some stress eating over the past week or two, sometimes I was able to talk myself out of it but not always. I'm excited to be headed home tomorrow so I can cook my own yummy healthy food and not worry about school! My goal over break is to figure out a time of day that I consistently log onto lantern so that I can be really serious about improving my relationship with food. I will definitely keep you updated! Thanks for being patient with me!",mixed
Hi Dani! I think I'm adjusting to the site pretty well. As far as a phone call I am free between 4 and 6 pm tomorrow and after 7:30 pm tomorrow and I am free after 4pm on Thursday. I'm also free all morning on Friday! Do any of those times work for you?,positive
Okay great thank you! I think the body image tracking will be really helpful for me,positive
"It was just something I had never really thought about before, so it was an interesting exercise to do! I realized that beauty is definitely not the only (nor the most important) part of the way I view myself",positive
"I think what's most helpful for me is being around and communicating with my family - if I'm not too hungry it helps to say so before our food comes, that way I've kind of established how much I want to eat and I don't lose sight of that once my food arrives.",positive
I don't think I can during those times since I have class. And it was good. I was supposed to eat a burger tonight but those plans got cancelled and. I had indian food which was slightly a negative food for me,mixed
"Also, in your feedback, you mentioned that there is a discussion group; how do I access the group? And while in the past two weeks, I haven't been using laxatives daily, I did I have one day where I abused them a lot and that was a day I wasn't able to check in on here. Luckily, I haven't had as many negative thoughts and guilt associated with eating since I went home for Thanksgiving break, but they're more prevalent when I'm at school. I worry that not having people with me 24/7, like my family, heightens my negative feelings, but it's also tiring to constantly be around friends. How do you suggest I address this? Thanks!",mixed
"I'm not sure about the differences about being at home vs being at school. Thanks for the link to the forum! Also, for today's lesson, the weighing part is difficult. When I first started to lose weight, I would check my weight once a week, maybe twice at most. Then when I got here, it became everyday and then for a little while, maybe 3 weeks, it was at once a hour. Now I've managed to reduce it to at most 5 times a day, but it's still really difficult to get it to that. I'm worried that managing to weigh only once a day is feeling impossible, and I don't know how I can get it to once a week, as the lesson today asked:",negative
"I'm not sure, I've been trying to allow myself a new food about once a week, but it's still difficult, and it hasn't been successful.",negative
"I think you're right about the weighing myself a lot- I didn't realize that until this message, but those small fluctuations in weight have given me ideas about what is ""right"" (exercising and other things) and what is wrong. I just need to focus on breaking this habit of checking my weight so often and get rid of the ideas of right and wrong. I've noticed that seeing an extremely high, in my opinion, number makes me binge as well. But the scale isn't always right. I need to learn that. Also, I do keep track of my food and exercise using myfitnesspal:",negative
Hi! I'm not entirely sure about the phone call as I have two exams this week. And I apologize for not replying; my computer stopped working earlier this week and this is the first time I've gotten to use it!,negative
"So essentially, I feel like if I don't burn a number of calories at the gym everyday, I gain weight, and I know that it's not physically possible to gain weight so quickly with the numbers I'm eating, but it's hard to shake that feeling off. And then if I try to fix it and reduce the amount of time I spend at the gym, I feel worse, so it's hard to make it better",negative
"The past couple of days, I've been eating ""normally"" but it's definitely overeating and even though I haven't checked, I know I've gained weight.",negative
"Hi! Yes, sorry- I've had 3 finals in the past day and a half. I have two more next week and then my schedule should be back to normal.",none
"Also, a quick positive was that even though I had access to my laxatives over break, from Wednesday to Saturday, I didn't use them, even though I felt like I was overeating the entire time",positive
"It was! I didn't particularly pay close attention to my anxiety or stress level before or after doing it, so unfortunately I'm not too sure. However, in my econ class last semester, our GSI had us take 3 deep breaths before our midterms when we had extra time, and for me it didn't seem to ease my worries. But for me to tell myself that things will go all right seemed to work well, as I did that walking to the midterm and didn't feel particularly anxious or nervous for the midterm",mixed
"I agree, I've never been much of a do things slowly and calmly sort of person. Recently, this past semester and I think last semester, it's worked. No, when I have negative thoughts it's usually me talking back to myself negatively..",mixed
"I hope you did as well! Uhm I guess it would be that there isn't anything terribly wrong with it health wise. Also, my apologies for the missing sessions, I've been remembering after midnight these past few times. I'll definitely be staying more on track this week!",mixed
"Hi Melody! My sleep schedule has been a bit off (waking up at 11am or 12pm) so I have a large-ish breakfast/lunch, then head to work and have dinner afterwards, which is the reason (and probably is the reason for all days with 2 meals) for my 2 meals and sometimes snack (often after dinner). And yes, my anxiety levels didn't always decrease because while doing the activity, I actually thought of more things that could happen or more things that I needed to do...hence increasing my stress a bit...I'll try to think things out before starting it so nothing pops up during the activity. Thanks for the feedback! I haven't been sure of how I should respond to it (whether I needed to or...) Have a great night!",mixed
"Hi! Yes, I apologize, it's been a bit overwhelming with me getting on my laptop at about 1 or 2am, but I'm hoping to get back to a normal sleeping and eating schedule this week, so it should be consistent again. There was a bit of issue logging in just now, but it seems to be fine. Happy holidays!",mixed
"Happy Holidays! I sent a reply yesterday but I guess it didn't go through? But in response, it was a bit odd to do and felt like a bit of a drag with the pace",negative
"Definitely not, especially for me as everything always seems fast paced. Not really, I'll try to keep that in mind next time I try one of these exercises. I've tried yoga at home if that counts, but it just made me sleepy",negative
"Hi! It's been stressful, finals are next week and I think the stress (along with that time of the month coming up...) have me eating all unbalanced and unhealthy. But hopefully once finals are over, I can get back on track",negative
"Hi Melody! I tried it today and it seemed to work a bit, I think I'll try to keep it in mind and use it more often",positive
"Hi Melody! I think I'll log my previous day's the next day (after midnight) as I'm not able to go on my laptop until usually late at night, this way I can be more consistent! 

And I think I tried the breathing exercise here on Lantern (or maybe it was another exercise) but it was shorter and didn't seem to be tedious",positive
I want to try regular eating. It's just going to be hard.,mixed
"Now just the hard part, actually going.",negative
"Yea, I could try doing it for 2 or 3 days a week. Just the thought if it intimidates me into not even trying. I'm also going to try and eat slower when or if I do start binging. At this point I don't even know what to do to cope without food.",negative
"Hi Ellen! The check in asked how many times in the last 24 hours I binged. For me, when I'm home my whole day or evening is one long binge of constant eating. It's hard to know if that's one binge or more. It's just constant.",negative
"It would be great. But eating is just such a part of my life. It would be like losing my best friend, I don't know how to cope. I was so excited about it this morning, all it took is one bad afternoon and I wanna run home to my pantry more then anything.",negative
Exercise is really important to me because of how unattractive I feel. However I feel so embarrassed about my weight I can't get myself to go to the gym. At the gym I feel as if every person is staring and it makes me feel horrible. But when I can't go exercise I feel disgusting and guilty for not doing it. It's a vicious cycle.,negative
Whew..today's weight check in is really stressing me out. I really don't want to know how much I weigh.,negative
I guess a small goal could be to go walk. It might help to do it at a park instead of the gym too.,positive
I could go for a walk tomorrow at a park close to my apartment.,positive
"I also bought cute flattering gym clothes, and am prepping a perfect gym bag so that I have no excuses and can feel good.",positive
"Hi Sarah: Thanks for your suggested times for a phone call. I think I would like to capture some more of the automatic thoughts that I'd like to work on, and then speak with you about them in a week or two. Have a great weekend! --Marjie",positive
It's been alright I suppose. I finished most of my school work and now have to head off to practice and then the gym. How's your Wednesday been?,mixed
im so sick of failing,negative
"Hi! I'm so sorry I completely forgot to do last week while I was home, I didn't even open my computer until yesterday!",negative
"I don't even know if I have a real reason to be mad at myself about yesterday but I still am. Basically I didn't eat anything until about 2:30 in the afternoon when some friends came over and had cheez-itz with them, so I ate so many of those, like a good 3 or 4 big handfuls. Then like an hour later I got lunch with a friend at the dining hall, which I haven't gone to all semester because it makes me so anxious cause of all the food and I fucked up of course. I had 2 pieces of toast with peanut butter and jelly, granola with soy milk, pasta and fries (like a lot of fries)...and then I went back to my room, tried to do schoolwork, ended up staring at myself in the mirror and pinching and prodding my stomach and thighs and then I went to bed at 7. It was so fucked up and I'm still so upset about it",negative
"fuck me. i binged again. 3 pieces of pie. i have lost all control over myself the past 3 days. but i've noticed a pattern, everytime I come back to my dorm and am with people i binge. what should i do?",negative
"okay. so yesterday i had class form 830-11:15 and i had a good breakfast so i wasn't hungry. i worked from 12-4 and had some trailmix for lunch as well as a granola bar. i had a meeting from 430 to 530 then i worked on homework until 7 when i had to work again (i'm an RA so i work the front desk 7-11:30). I got a salad right before 7 so i had that. then we did walks and a group in our building was doing a pie event for thanksgiving break so i had 3 pieces to try them and then i was just so angry at myself cause i didn't even think about it- i just scarfed them down. I know that i'm just gonna feel bad after eating like that so i don't understand why i continue to do that and not stop and think about the effects, i feel like i just wanna act normally and eat the stuff the people around me eat but my reactions don't allow that. and now i'm very anxious for the upcoming week. i'm supposed to weigh myself friday morning. my birthday is friday and my friends are throwing me a party so i can't avoid those scary foods like cake and then it's thanksgiving which is basically sensory overload",negative
i'm feeling super out of control right now and i'm pissed at myself and don't know what to do,negative
"I'll try it out. I'm just really frustrated by how much I'm always thinking about food, planning what I'm going to eat, when I'm going to workout. And I hate how much I want to get healthy but also want to by this tiny thing. It's exhausting. I'm so envious of people who don't have any relationship with food- they just eat what and when they want without being concerned. How do those people even exist?",negative
"But I made myself go back to the dining hall for breakfast to make a point to myself that I need to eat and that I can eat in the dining hall, so I had 2 hard boiled eggs, an apple & 2 pieces of toast with peanut butter so I feel okay about that I think.",positive
I've been really enjoying the modules because they are really helpful. This module with the elephant was especially helpful,positive
Should I use Lantern everyday? Is thatr recommended?,none
"Hi Ellen!
thanks for your help.",positive
"Thanks for the comments. I'll stick with it and see what happens and pass along any feedback I can provide. I understand about the ""thin ideal"" and ""Adonis complex"" for men and how that would work. My intuition is that the prevalence of this particular attitude among male may be strongly age-related. Thanks again for the note.",mixed
Thanks! Have to finish my Wellness Plan for a course in grad school this weekend!,mixed
"I'm a graduate student in clinical mental health and have been an addictions counselor for quite a while. So I have some background to draw on. I found some of the questions in the initial survey and then the approach to eating disorders to be very female-oriented. I don't think that men who experience eating disorders, for example, feel shame when they binge or in some other way engage in maladaptive eating behaviors. I became immediately stuck in the first lesson because it didn't seem to relate to me to reflect my challenges with off and on binge eating. This was particularly true with all the body image emphasis. I found that to be way off track for me. I understand how that is a common challenge for women with eatings disorders, but I'm not so sure that it is as common among men. So I'm not sure that the program will be helpful for me. What do you think?",negative
"The other thing that I noticed both in the survey and in the approach is that it seems quite oriented to traditional college students and not for older nontraditional students. I think that the eating concerns for older adults may be different in nature. The context may change from concerns about body image and comparing yourself to others to simply wanting to be healthy, particularly for older adults who struggler with obesity.",negative
Just got home from a three hour rehearsal with a chorus in which I sing. Our winter show is in three weeks with three performances in three different venues. Coursework all done for a week.,positive
I don't know if I can completely not count calories yet because I want to try and regulate my eating at the moment? But I hope to slowly transition to that.,mixed
"Hi! Sorry for not replying to the last message. Got a little caught up with the break. I'm doing well. I think we can stick to the messages for now because that works well. I feel a little guilty for eating so much while I have been at home, but trying to not be too negative.",mixed
"I am rather careful about what I eat, so I've been sticking to the same foods but I don't really consider it ""restricting' because I don't feel the need to eat other foods etc",none
"Whenever I eat more than I feel like I should have I tend to think like that, but I try to tell myself to just go back to eating healthy rather than ""dieting"" and that's been going well lately",positive
"Also, I have been keeping a food diary in a journal, and I think having to write it down rather than just recording on my phone like before has helped me think about what I'm eating",positive
"I actually recently started taking Prozac, and I think that has helped a great deal, but this program has helped reinforce the healthy eating habits. I like reading about why certain things are bad/good because it helps me have a healthy way of thinking about food",positive
"Hi! Thanks for the support. I don't have any questions at the moment, but it's been going well.",positive
"Today since I was hungry, I let myself eat more than usual, and although it was a bit uncomfortable afterwards to think that I ate more than usual and also did not exercise, it wasn't devastating and I tried not to dwell on it, so I hope that allowing myself to not worry too much will help me be more flexible overall..",positive
"I guess part of it is fear to eat whatever I want because in the past often it would lead to binging and weight gain, but I'm hoping that I can slowly work up to not having to count calories/eating other foods after I regulate my hunger I guess?",positive
"I guess that I tend to stick to things I know the nutrition facts for and often have soup, protein bars, sushi, and fruit. However, when I really want to eat something else like a dessert or if I'm eating out with people, I don't try to restrict myself.",positive
Anna. I feel irrational writing to my body. I feel it only makes me feel more self concious about that part I hate and then it's so hard for me to defend it once I think about all those things.,negative
"Hi Dani, I just got all three of your messages. The past week has been more busy than usual and the truth is, it slipped my mind to check this inbox. I just completed the self introduction paragraph I was asked to write. I hope what I wrote is helpful",negative
